vectorId	componentKind	ordinal	length	sha256	hex
NWG1_KAFKA_MIN_ZERO_RECORD_NONE_V1	PROTOCOL_CELL_COMMITMENT	0	32	8bbdd11beff1a6e5568bbd9a7740cb53ad29da3f5941babaa2a7a286db09260d	ca5836c96de98740e6f3390b40b43bed1d5cf601f9c845340c38aee06ee474d1
NWG1_KAFKA_MIN_ZERO_RECORD_NONE_V1	WRAPPED_ENVELOPE_COMMITMENT	0	32	e86c06facf27bef47c97123398efed05d908fd61f899c4a6ebef44190243f6b2	2a6c68fed3c94e024b4f76ca4d89f47535d7e0292639d395d3c4fc1403faeae0
NWG1_KAFKA_MIN_ZERO_RECORD_NONE_V1	OWNER_FENCE_COMMITMENT	0	32	f15ffab9f9719b8113d605d55227dd435eb0cb67f8ea8c376e5c7cbdbe0e34eb	5aaacd9d21f22f48d3155a31fe3469cd8897c3776a9be73a25c9cb4086fdcbd7
NWG1_KAFKA_MIN_ZERO_RECORD_NONE_V1	HEADER	0	256	98d372fd12edba4e5be84b8c8b6b0159627431118e87a2be9a1abe036dd095f9	4e5747310001010000000000000100000000000700000000000003e8000000000000000a000000010000000000100000000000000098968000000000000000000000003d00000000002dc6c00000015400000164000000010000000100000001000000000000026400000000000002b100010101010101010101100aca5836c96de98740e6f3390b40b43bed1d5cf601f9c845340c38aee06ee474d105497d4727444ffed7a83f714edec0e94f3722c7bc9f4d1bb34b300d0590161a0039f6e43b7d376b3ed939465e3c9deecca8ee9fc090141af2397569108a70a92a6c68fed3c94e024b4f76ca4d89f47535d7e0292639d395d3c4fc1403faeae0654c050a
NWG1_KAFKA_MIN_ZERO_RECORD_NONE_V1	HKDF_INFO	0	37	cfc4234a6c0ef5bec767a2479d2dbae0470ca63746b60d95d006b8f21a19ff84	4e5747312f4f424a2f4b45592f5631000000000700000000000003e800000000000000000a
NWG1_KAFKA_MIN_ZERO_RECORD_NONE_V1	OBJECT_AEAD_KEY	0	32	03765965dc3da26d1f46632760687241f13824741542b04b24f27a908385f81f	679ef27e966a5350114e6b99bbca3a4ec1fad169a91f45d631eaeb22441f3af7
NWG1_KAFKA_MIN_ZERO_RECORD_NONE_V1	DIRECTORY_NONCE	0	12	f1f8dd15e4cf5a72f28a196e4084df49a3150aca23fc56adc3a672fafe6b0e80	4e4449520000000000000000
NWG1_KAFKA_MIN_ZERO_RECORD_NONE_V1	DIRECTORY_PLAINTEXT	0	340	b7ec07ca1c678df09cafd33db11e35a945b45cebeb71cfbc3f9d10cf48e7512a	4e5744310001002000010000000000010000000100000001000000240000015428e319b6b94797de68c62e18f219546cf4b319f1c9e14dca7cf475c8a48a984d6670ae99f7b34fb5656c5477f1bb8f3720884811cce7082ba24848df6d7061de5aaacd9d21f22f48d3155a31fe3469cd8897c3776a9be73a25c9cb4086fdcbd7000000000000002400010001000100010001000100000000000000000000000100000003000000070000000000000000000000640000000000000065e47cf453bd1dd479e727e7a6cdfa8825fccfb64c7e909648136972a3265c9ad990d45767f3a16bbd85c0f848413d2c2fda3d412ffd3445b91f1740717cb12169000000000000004d00000000000002640000003d8830b6df0000000000000064000000000000006500000000000100014e5449310001000000000000006400000000000000c80000000a6e7767312d76302d62304f46e029
NWG1_KAFKA_MIN_ZERO_RECORD_NONE_V1	DIRECTORY_AAD	0	272	ece5d7449b028ae342477277f2829bd3711f91c5dadc3ace328a0d08fe4cbb1f	4e5747312f4449522f4141442f5631004e5747310001010000000000000100000000000700000000000003e8000000000000000a000000010000000000100000000000000098968000000000000000000000003d00000000002dc6c00000015400000164000000010000000100000001000000000000026400000000000002b100010101010101010101100aca5836c96de98740e6f3390b40b43bed1d5cf601f9c845340c38aee06ee474d105497d4727444ffed7a83f714edec0e94f3722c7bc9f4d1bb34b300d0590161a0039f6e43b7d376b3ed939465e3c9deecca8ee9fc090141af2397569108a70a92a6c68fed3c94e024b4f76ca4d89f47535d7e0292639d395d3c4fc1403faeae0654c050a
NWG1_KAFKA_MIN_ZERO_RECORD_NONE_V1	DIRECTORY_CIPHERTEXT_AND_TAG	0	356	7e880a881ba2600a7749094dd5c4c9387e789c94ace0ca82026314dcf675d3be	c01dea78f9742203ba866269fa07e483f96f49c4d1896710ba74847d0c21c9086459a9edf134f282c4c661c45215deba9afcd7c043c3e547e9a9aaa8daa8ee152e410f37745315f9b3571371281cf91ebbf8f358767d43175806e6bca128cc8b86bfa80e43992c96e969b646b47b216e7a065c6f573372f049eae0fdffa2a3f5cada74a4e35874408b8cde2ad7e8caaf1aa0f7a014f28aa06aa9f977077375f7180614b28f01f33899af7f739143a16e69264898057a0ab29c978c70444f61a8838b4d14a553471a0fd4df054c7db706bd4b03e6afcaad91a0f0904cdea46712c17a318b5c84823b4a7c4935ff1da8e38c31c8e846cbc83e75da9f6fde0b0ad167f1cc76ff6b853516625f6800ae221653af8218284a47b1af43a9452389b74ff4274a78c525fda599fe67358100211bb3860867518a3161047d50e16f9afa8aafe57cc86085b12a63a1cc455c54c47abd61f1c4b9f60bbf80b01d610de4aea708dc8b8a
